id,name,degree,peel,diversity,betweenness,pagerank
0,Addam Marbrand,0.09090909090909091,0.75,0.4860787534888344,0.0024447372944002284,0.0168699399587075
1,Aegon Frey (son of Stevron),0.024793388429752067,0.25,0.4215593827046134,0.0,0.005512853869419342
2,Aegon I Targaryen,0.06611570247933884,0.3333333333333333,0.5939162785430236,0.035868288725534644,0.024955323676206623
3,Aegon Targaryen (son of Rhaegar),0.11570247933884298,0.5,0.7305852392802622,0.031293873056796595,0.0529582458486878
4,Aegon V Targaryen,0.0,0.0,0.0,0.0,0.0011574425415673795
5,Aemon Targaryen (Dragonknight),0.0,0.0,0.0,0.0,0.00016471677128746516
6,Aemon Targaryen (Maester Aemon),0.2066115702479339,0.5833333333333334,0.709972019253913,0.09889719228051774,0.14087523062532367
7,Aenys Frey,0.024793388429752067,0.16666666666666666,0.5620791768043331,0.00422584117124529,0.010517492799912554
8,Aeron Greyjoy,0.11570247933884298,0.3333333333333333,0.7091279223467434,0.06732808965580923,0.12075066878137745
9,Aerys I Targaryen,0.0,0.0,0.0,0.0,1.7334157142674934e-05
10,Aerys II Targaryen,0.1487603305785124,0.75,0.6909228522237925,0.07322931931678815,0.07477820100367306
11,Aggar,0.024793388429752067,0.08333333333333333,0.4215593827046134,0.041623916391256656,0.02547320628326273
12,Aggo,0.0743801652892562,0.5833333333333334,0.3813087944057579,0.0005227628495205227,0.03679706152495542
13,Alayaya,0.024793388429752067,0.16666666666666666,0.4215593827046134,0.013094565771054514,0.009368083160435687
14,Albett,0.01652892561983471,0.16666666666666666,0.25807748313688406,0.0,0.003319505185632898
15,Alebelly,0.024793388429752067,0.16666666666666666,0.5620791768043331,3.711229493375013e-05,0.006687207783808842
16,Alerie Hightower,0.008264462809917356,0.08333333333333333,0.0,0.0,0.0008647348636378227
17,Alester Florent,0.049586776859504134,0.4166666666666667,0.5480867959505417,0.0018885785845297843,0.014867774344675143
18,Alla Tyrell,0.03305785123966942,0.25,0.540137880687222,6.142006735178844e-05,0.015206819184137311
19,Allar Deem,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0011929846101152042
20,Allard Seaworth,0.01652892561983471,0.08333333333333333,0.4454372090086314,8.692501057414125e-05,0.007901641651786771
21,Alleras,0.05785123966942149,0.25,0.3650127954745389,0.07390784449813091,0.04325227345926612
22,Alliser Thorne,0.11570247933884298,0.5833333333333334,0.6032418644203128,0.011544151503110407,0.04829876803749409
23,Alyn,0.03305785123966942,0.3333333333333333,0.540137880687222,0.00011971708043145203,0.009131605797139683
